ID,Pagina,Seccion,Nombre archivo final,Orientacion,Medidas px,Categoria,Descripcion del contenido,Sugerencia de toma,Prioridad,Estado,Notas
DM-001,index,why-tecnologia,home-why-tecnologia-02.webp,Cuadrado,1600x1600,Tecnologia,"Tecnologia digital o equipo de diagnostico (escaner intraoral, panoramica, tomografia 3D)","Plano cerrado del equipo en uso, luz natural, sin manos de paciente visibles",Alta,Pendiente,Reemplaza placeholder en carrusel why
DM-002,dentista-cumbaya,carousel-tecnologia,sede-cumbaya-tecnologia-03.webp,Cuadrado,1600x1600,Tecnologia,Escaner intraoral o tomografo en sede Cumbaya,"Tecnologia en uso, foco en el equipo, ambiente clinico iluminado",Alta,Pendiente,Reemplaza placeholder carrusel sede Cumbaya
DM-003,dentista-norte-quito,carousel-equipo,sede-norte-equipo-02.webp,Cuadrado,1600x1600,Doctor,Doctora atendiendo a paciente en sede Norte,"Plano medio, doctora con uniforme, paciente en sillon, iluminacion clinica calida",Alta,Pendiente,Requiere consentimiento del paciente
DM-004,implantes-dentales-quito,hero,implantes-quito-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal pagina implantes Quito: paciente sonriendo en sillon o close-up de implante en mano del doctor","Vertical 4:5, formato Stories. Luz natural lateral, sin texto sobreimpreso",Alta,Pendiente,LCP image - debe ser de alta calidad
DM-005,implantes-dentales-quito,result,implantes-quito-resultado-01.webp,Vertical,1600x2000,Resultado,Antes/despues de implante dental real,"Comparativa lado a lado o close-up de sonrisa final. Misma iluminacion en ambas",Alta,Pendiente,Requiere consentimiento firmado del paciente
DM-006,implantes-cumbaya,hero,implantes-cumbaya-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal pagina implantes Cumbaya: paciente o equipamiento de la sede","Vertical 4:5. Diferenciar visualmente de la version Norte (otra paciente, otro angulo)",Alta,Pendiente,No usar misma foto que implantes-quito-hero
DM-007,implantes-cumbaya,result,implantes-cumbaya-resultado-01.webp,Vertical,1600x2000,Resultado,Antes/despues de implante dental en sede Cumbaya,"Comparativa, paciente diferente al de implantes-quito-resultado",Alta,Pendiente,Consentimiento + foto distinta de la sede Norte
DM-008,ortodoncia-quito,hero,ortodoncia-quito-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal ortodoncia: brackets, invisalign o paciente joven sonriendo","Plano medio o close-up de boca con brackets/alineadores",Alta,Pendiente,Idealmente paciente adolescente o adulto joven
DM-009,ortodoncia-quito,result,ortodoncia-quito-resultado-01.webp,Vertical,1600x2000,Resultado,Antes/despues de tratamiento de ortodoncia,"Sonrisa antes con dientes desalineados / despues con sonrisa final",Alta,Pendiente,Consentimiento + caso real de la clinica
DM-010,blanqueamiento-dental-quito,hero,blanqueamiento-quito-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal blanqueamiento: paciente con sonrisa blanca o aplicacion del tratamiento","Close-up de sonrisa blanca o sesion de blanqueamiento",Alta,Pendiente,Iluminacion fria/azulada para resaltar blancura
DM-011,blanqueamiento-dental-quito,result,blanqueamiento-quito-resultado-01.webp,Vertical,1600x2000,Resultado,Comparativa antes/despues con guia de color VITA,"Sostener guia VITA al lado de los dientes, antes y despues",Alta,Pendiente,Foto profesional de comparativa de color
DM-012,diseno-de-sonrisa-quito,hero,diseno-sonrisa-quito-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal diseno de sonrisa: paciente con sonrisa renovada o proceso de carillas","Close-up de sonrisa final o doctora preparando carillas",Alta,Pendiente,Estetica premium - importante para conversion
DM-013,diseno-de-sonrisa-quito,result,diseno-sonrisa-quito-resultado-01.webp,Vertical,1600x2000,Resultado,Antes/despues de diseno de sonrisa con carillas,"Comparativa de sonrisa antes (dientes manchados/desgastados) y despues (carillas)",Alta,Pendiente,Caso real con consentimiento
DM-014,dentista-cumbaya,hero,sede-cumbaya-hero-01.webp,Horizontal,2400x1500,Hero,"Foto hero sede Cumbaya: fachada del Edificio Natura o recepcion principal","Plano amplio de la fachada exterior con logo visible, o recepcion con sonrisa de recepcionista",Alta,Pendiente,Reemplaza placeholder texto "Foto sede Cumbaya"
DM-015,dentista-norte-quito,hero,sede-norte-hero-01.webp,Horizontal,2400x1500,Hero,"Foto hero sede Norte: recepcion principal o fachada del edificio","Plano amplio interior o exterior reconocible",Alta,Pendiente,Reemplaza placeholder texto "Foto sede Norte"
DM-016,dentista-cumbaya,gallery-02,sede-cumbaya-galeria-consultorio-02.webp,Cuadrado,1600x1600,Galeria,Consultorio / Sillon dental sede Cumbaya,"Sillon limpio y equipado, sin pacientes, luz blanca clinica",Media,Pendiente,Muestra equipamiento y limpieza
DM-017,dentista-cumbaya,gallery-03,sede-cumbaya-galeria-tecnologia-03.webp,Cuadrado,1600x1600,Tecnologia,Tecnologia / Equipos 3D sede Cumbaya,"Tomografo o escaner intraoral con LED",Media,Pendiente,Genera confianza tecnica
DM-018,dentista-cumbaya,gallery-05,sede-cumbaya-galeria-resultado-05.webp,Horizontal,1200x800,Resultado,"Antes / despues de paciente real, sede Cumbaya","Comparativa horizontal con misma iluminacion",Media,Pendiente,Consentimiento del paciente
DM-019,dentista-cumbaya,gallery-06,sede-cumbaya-galeria-fachada-06.webp,Horizontal,1200x800,Fachada,"Fachada exterior, ayuda a ubicar la clinica en Cumbaya","Plano amplio de la entrada del Edificio Natura con letrero visible",Media,Pendiente,SEO local - reconocimiento visual de Google Maps
DM-020,dentista-cumbaya,gallery-07,sede-cumbaya-galeria-infantil-07.webp,Horizontal,1200x800,Galeria,Area infantil / espacio para ninos,"Esquina de juegos, libros o decoracion infantil",Media,Pendiente,Transmite calidez familiar
DM-021,dentista-norte-quito,gallery-03,sede-norte-galeria-tecnologia-03.webp,Cuadrado,1600x1600,Tecnologia,Tecnologia / Equipos 3D sede Norte,"Tomografia 3D o escaner intraoral en uso",Media,Pendiente,Genera confianza tecnica
DM-022,dentista-norte-quito,gallery-04,sede-norte-galeria-equipo-04.webp,Horizontal,1200x800,Doctor,"Equipo de doctores sede Norte, foto grupal o individual","Foto profesional con uniforme, fondo limpio",Media,Pendiente,Posibles candidatos para /nuestro-equipo
DM-023,dentista-norte-quito,gallery-05,sede-norte-galeria-resultado-05.webp,Horizontal,1200x800,Resultado,"Antes / despues de paciente real, sede Norte","Comparativa horizontal con permiso",Media,Pendiente,Consentimiento del paciente
DM-024,dentista-norte-quito,gallery-06,sede-norte-galeria-fachada-06.webp,Horizontal,1200x800,Fachada,"Fachada exterior sede Norte, Av Brasil","Plano de entrada con letrero/logo visible",Media,Pendiente,SEO local
DM-025,dentista-norte-quito,gallery-07,sede-norte-galeria-higiene-07.webp,Horizontal,1200x800,Tecnologia,Higiene / Esterilizacion del instrumental,"Autoclave o area de esterilizacion limpia",Media,Pendiente,Transmite seguridad sanitaria
DM-026,implantes-dentales-quito,explain,implantes-quito-explain-01.webp,Cuadrado,1200x1200,Educativo,Diagrama o ilustracion del implante dental,"Imagen educativa: corte transversal del implante con sus 3 partes (tornillo, pilar, corona)",Media,Pendiente,Puede ser ilustracion grafica o foto de implante real
DM-027,implantes-dentales-quito,gallery-01,implantes-quito-galeria-quirofano-01.webp,Vertical,900x1200,Galeria,Quirofano o sala de cirugia para implantes,"Sala iluminada, luz cenital, equipamiento esteril",Media,Pendiente,Foto destacada principal de la galeria
DM-028,implantes-dentales-quito,gallery-02,implantes-quito-galeria-tomografo-02.webp,Cuadrado,1600x1600,Tecnologia,Tomografo Cone Beam 3D,"Equipo en uso o detallado, mostrando pantalla con escaneo",Media,Pendiente,Tecnologia clave para implantes
DM-029,implantes-dentales-quito,gallery-03,implantes-quito-galeria-consultorio-03.webp,Cuadrado,1600x1600,Galeria,Consultorio clinico para implantes,"Unidad dental moderna con luz blanca",Media,Pendiente,
DM-030,implantes-dentales-quito,gallery-04,implantes-quito-galeria-equipo-04.webp,Horizontal,1200x800,Doctor,Cirujanos implantologos en accion,"Doctores con guantes y mascarilla durante procedimiento",Media,Pendiente,Sin mostrar al paciente expuesto
DM-031,implantes-dentales-quito,gallery-05,implantes-quito-galeria-resultado-05.webp,Horizontal,1200x800,Resultado,Resultado de implante terminado,"Sonrisa final con implante integrado, antes/despues",Media,Pendiente,Consentimiento del paciente
DM-032,implantes-dentales-quito,gallery-06,implantes-quito-galeria-espera-06.webp,Horizontal,1200x800,Galeria,Sala de espera comoda,"Asientos limpios, luz natural, ambiente calido",Baja,Pendiente,
DM-033,implantes-dentales-quito,gallery-07,implantes-quito-galeria-pieza-07.webp,Horizontal,1200x800,Tecnologia,Implante de titanio (pieza fisica),"Close-up de implante de titanio sobre fondo blanco",Baja,Pendiente,Material biocompatible
DM-034,implantes-cumbaya,explain,implantes-cumbaya-explain-01.webp,Cuadrado,1200x1200,Educativo,Diagrama del implante dental (sede Cumbaya),"Igual concepto que DM-026 pero version Cumbaya",Media,Pendiente,Puede reusarse el mismo grafico que DM-026
DM-035,implantes-cumbaya,gallery-01,implantes-cumbaya-galeria-quirofano-01.webp,Vertical,900x1200,Galeria,Quirofano para implantes en Cumbaya,"Sala de cirugia limpia y equipada",Media,Pendiente,Foto de la sede Cumbaya especificamente
DM-036,implantes-cumbaya,gallery-02,implantes-cumbaya-galeria-tomografo-02.webp,Cuadrado,1600x1600,Tecnologia,Tomografo 3D en sede Cumbaya,"Equipo en sede Cumbaya, no la sede Norte",Media,Pendiente,Distinguible de la version Norte
DM-037,implantes-cumbaya,gallery-03,implantes-cumbaya-galeria-consultorio-03.webp,Cuadrado,1600x1600,Galeria,Consultorio Cumbaya,"Unidad dental Cumbaya",Media,Pendiente,
DM-038,implantes-cumbaya,gallery-04,implantes-cumbaya-galeria-equipo-04.webp,Horizontal,1200x800,Doctor,Equipo implantologo Cumbaya,"Doctores trabajando en sede Cumbaya",Media,Pendiente,
DM-039,implantes-cumbaya,gallery-05,implantes-cumbaya-galeria-resultado-05.webp,Horizontal,1200x800,Resultado,Antes/despues paciente Cumbaya,"Caso real diferente al de la sede Norte",Media,Pendiente,Consentimiento + caso unico
DM-040,implantes-cumbaya,gallery-06,implantes-cumbaya-galeria-espera-06.webp,Horizontal,1200x800,Galeria,Sala de espera Cumbaya,"Sala de espera de la sede Cumbaya",Baja,Pendiente,
DM-041,implantes-cumbaya,gallery-07,implantes-cumbaya-galeria-titanio-07.webp,Horizontal,1200x800,Tecnologia,Implante de titanio,"Detalle de pieza fisica",Baja,Pendiente,Puede compartirse con DM-033
DM-042,ortodoncia-quito,explain,ortodoncia-quito-explain-01.webp,Cuadrado,1200x1200,Educativo,Diagrama de opciones: brackets metalicos vs esteticos vs Invisalign,"Comparativa visual de los 3 sistemas",Media,Pendiente,Puede ser ilustracion grafica
DM-043,ortodoncia-quito,gallery-01,ortodoncia-quito-galeria-consultorio-01.webp,Vertical,900x1200,Galeria,Consultorio de ortodoncia,"Sillon con kit de ortodoncia visible",Media,Pendiente,
DM-044,ortodoncia-quito,gallery-02,ortodoncia-quito-galeria-registro-02.webp,Cuadrado,1600x1600,Tecnologia,Registro y planificacion (fotografias clinicas o escaneo),"Camara intraoral o pantalla con registro inicial",Media,Pendiente,Diagnostico inicial
DM-045,ortodoncia-quito,gallery-03,ortodoncia-quito-galeria-control-03.webp,Cuadrado,1600x1600,Galeria,Sesion de control ortodontico,"Doctora ajustando brackets a paciente",Media,Pendiente,Controles periodicos
DM-046,ortodoncia-quito,gallery-04,ortodoncia-quito-galeria-equipo-04.webp,Horizontal,1200x800,Doctor,Equipo de ortodoncistas,"Doctores especialistas en ortodoncia",Media,Pendiente,
DM-047,ortodoncia-quito,gallery-05,ortodoncia-quito-galeria-evolucion-05.webp,Horizontal,1200x800,Resultado,Evolucion del tratamiento de ortodoncia,"Serie de fotos: inicio, mitad, final del tratamiento",Media,Pendiente,Caso real con consentimiento
DM-048,ortodoncia-quito,gallery-06,ortodoncia-quito-galeria-espera-06.webp,Horizontal,1200x800,Galeria,Sala de espera,"Ambiente comodo",Baja,Pendiente,
DM-049,ortodoncia-quito,gallery-07,ortodoncia-quito-galeria-sistemas-07.webp,Horizontal,1200x800,Tecnologia,"Sistemas de ortodoncia: brackets y alineadores Invisalign","Detalle de los productos sobre superficie limpia",Baja,Pendiente,
DM-050,blanqueamiento-dental-quito,explain,blanqueamiento-quito-explain-01.webp,Cuadrado,1200x1200,Educativo,Diagrama de tipos de blanqueamiento: en consultorio vs casero,"Comparativa visual o iconografia de metodos",Media,Pendiente,
DM-051,blanqueamiento-dental-quito,gallery-01,blanqueamiento-quito-galeria-consultorio-01.webp,Vertical,900x1200,Galeria,Consultorio para blanqueamiento,"Sillon con lampara de blanqueamiento LED",Media,Pendiente,
DM-052,blanqueamiento-dental-quito,gallery-02,blanqueamiento-quito-galeria-vita-02.webp,Cuadrado,1600x1600,Tecnologia,Registro del color inicial con guia VITA,"Doctora midiendo color inicial con guia VITA",Media,Pendiente,Diagnostico inicial
DM-053,blanqueamiento-dental-quito,gallery-03,blanqueamiento-quito-galeria-sesion-03.webp,Cuadrado,1600x1600,Galeria,Sesion de aclarado en consultorio,"Paciente con apertura bucal y gel de blanqueamiento aplicado",Media,Pendiente,Idealmente con lampara LED encendida
DM-054,blanqueamiento-dental-quito,gallery-04,blanqueamiento-quito-galeria-equipo-04.webp,Horizontal,1200x800,Doctor,Equipo de estetica dental,"Especialistas en estetica",Media,Pendiente,
DM-055,blanqueamiento-dental-quito,gallery-05,blanqueamiento-quito-galeria-resultado-05.webp,Horizontal,1200x800,Resultado,Resultado del aclarado: antes/despues,"Comparativa horizontal lado a lado",Media,Pendiente,Foto profesional con misma iluminacion
DM-056,blanqueamiento-dental-quito,gallery-06,blanqueamiento-quito-galeria-espera-06.webp,Horizontal,1200x800,Galeria,Sala de espera,"Ambiente comodo",Baja,Pendiente,
DM-057,blanqueamiento-dental-quito,gallery-07,blanqueamiento-quito-galeria-mantenimiento-07.webp,Horizontal,1200x800,Galeria,Kit de mantenimiento en casa,"Cubeta personalizada y gel de mantenimiento sobre fondo blanco",Baja,Pendiente,Producto post-tratamiento
DM-058,diseno-de-sonrisa-quito,explain,diseno-sonrisa-quito-explain-01.webp,Cuadrado,1200x1200,Educativo,Diagrama de proporciones esteticas de la sonrisa,"Foto con sobreposicion de proporcion aurea o regla de los tercios",Media,Pendiente,Concepto visual avanzado
DM-059,diseno-de-sonrisa-quito,gallery-01,diseno-sonrisa-quito-galeria-consultorio-01.webp,Vertical,900x1200,Galeria,Consultorio para diseno de sonrisa,"Sillon con kit estetico visible",Media,Pendiente,
DM-060,diseno-de-sonrisa-quito,gallery-02,diseno-sonrisa-quito-galeria-registro-02.webp,Cuadrado,1600x1600,Tecnologia,Fotografias clinicas para registro estetico,"Doctora tomando foto con camara DSLR a la sonrisa del paciente",Media,Pendiente,Registro inicial profesional
DM-061,diseno-de-sonrisa-quito,gallery-03,diseno-sonrisa-quito-galeria-area-03.webp,Cuadrado,1600x1600,Galeria,Area clinica para diseno,"Unidad dental moderna",Media,Pendiente,
DM-062,diseno-de-sonrisa-quito,gallery-04,diseno-sonrisa-quito-galeria-equipo-04.webp,Horizontal,1200x800,Doctor,Equipo estetico,"Especialistas trabajando en caso",Media,Pendiente,
DM-063,diseno-de-sonrisa-quito,gallery-05,diseno-sonrisa-quito-galeria-resultado-05.webp,Horizontal,1200x800,Resultado,Transformacion de la sonrisa con carillas,"Antes (dientes desgastados) / despues (carillas)",Media,Pendiente,Caso premium con consentimiento
DM-064,diseno-de-sonrisa-quito,gallery-06,diseno-sonrisa-quito-galeria-espera-06.webp,Horizontal,1200x800,Galeria,Sala de espera,"Ambiente comodo",Baja,Pendiente,
DM-065,diseno-de-sonrisa-quito,gallery-07,diseno-sonrisa-quito-galeria-plan-07.webp,Horizontal,1200x800,Educativo,Plan del caso: encerado de diagnostico o mockup,"Modelo de yeso con encerado o foto del mockup en boca",Baja,Pendiente,Proceso intermedio del tratamiento
DM-066,nuestro-equipo,doctor-01,equipo-doctor-01.webp,Vertical,1200x1500,Doctor,"Retrato profesional del Dr/a 1 (nombre por confirmar con cliente)","Plano medio, fondo neutro, uniforme/bata blanca, sonrisa profesional",Alta,Pendiente,Pagina /nuestro-equipo - Fase 2
DM-067,nuestro-equipo,doctor-02,equipo-doctor-02.webp,Vertical,1200x1500,Doctor,"Retrato profesional del Dr/a 2","Mismo estilo que DM-066 - consistencia visual",Alta,Pendiente,Pagina /nuestro-equipo - Fase 2
DM-068,nuestro-equipo,doctor-03,equipo-doctor-03.webp,Vertical,1200x1500,Doctor,"Retrato profesional del Dr/a 3","Mismo estilo - mismo fondo y luz",Alta,Pendiente,Pagina /nuestro-equipo - Fase 2
DM-069,nuestro-equipo,doctor-04,equipo-doctor-04.webp,Vertical,1200x1500,Doctor,"Retrato profesional del Dr/a 4","Mismo estilo",Alta,Pendiente,Pagina /nuestro-equipo - Fase 2
DM-070,nuestro-equipo,grupo,equipo-grupo-01.webp,Horizontal,2400x1500,Doctor,"Foto grupal de todo el equipo de doctores","Plano amplio con todos los doctores, fondo neutro o de la clinica",Media,Pendiente,Hero de la pagina /nuestro-equipo
